Club,League,Position,Player,Statscore
Watford,eng Premier League,FWMF,João Pedro,10.231959446165103
Paris S-G,fr Ligue 1,FW,Kylian Mbappé,8.688751497005514
Liverpool,eng Premier League,FW,Mohamed Salah,7.538245352351578
Bayern Munich,de Bundesliga,FW,Robert Lewandowski,7.20890274256893
Real Madrid,es La Liga,FW,Vinicius Júnior,7.182047646786349
Real Madrid,es La Liga,FW,Karim Benzema,6.625269786648181
RB Leipzig,de Bundesliga,FWMF,Christopher Nkunku,6.549949194285583
Atalanta,it Serie A,FW,Duván Zapata,6.415250427759914
Dortmund,de Bundesliga,FW,Erling Haaland,6.401938332445531
Lyon,fr Ligue 1,FW,Moussa Dembélé,6.315504776839123
Paris S-G,fr Ligue 1,FWMF,Neymar,6.187474708492319
Barcelona,es La Liga,FW,Memphis Depay,6.102372648244789
Leverkusen,de Bundesliga,FW,Patrik Schick,6.011789027426628
Manchester City,eng Premier League,FW,Raheem Sterling,5.914339176948175
Manchester City,eng Premier League,FW,Gabriel Jesus,5.884014996999263
Liverpool,eng Premier League,FW,Diogo Jota,5.768075814121651
Napoli,it Serie A,FW,Victor Osimhen,5.751957533380533
Milan,it Serie A,FW,Rafael Leão,5.713878059496201
Inter,it Serie A,FW,Lautaro Martínez,5.582779466208162
Lazio,it Serie A,FW,Ciro Immobile,5.5436268590419955
Liverpool,eng Premier League,FW,Sadio Mané,5.389365491926696
Paris S-G,fr Ligue 1,FWMF,Lionel Messi,5.389175615628898
Tottenham,eng Premier League,FWMF,Son Heung-min,5.387048940159836
Manchester Utd,eng Premier League,FW,Cristiano Ronaldo,5.353329941731628
Tottenham,eng Premier League,FW,Harry Kane,5.315503136718716
Monaco,fr Ligue 1,FW,Wissam Ben Yedder,5.307459631195489
Bayern Munich,de Bundesliga,FWMF,Leroy Sané,5.26723023251777
Bayern Munich,de Bundesliga,FWDF,Serge Gnabry,5.265965476713296
Inter,it Serie A,FW,Edin Džeko,5.249402852251479
Paris S-G,fr Ligue 1,FW,Ángel Di María,5.157161657256045
Sassuolo,it Serie A,FW,Domenico Berardi,4.981425281834159
Udinese,it Serie A,FWMF,Gerard Deulofeu,4.9409998849458034
Angers,fr Ligue 1,FWMF,Sofiane Boufal,4.914867421606333
Lyon,fr Ligue 1,FW,Karl Toko Ekambi,4.8834139029298544
Rennes,fr Ligue 1,FW,Gaëtan Laborde,4.861654102744706
Chelsea,eng Premier League,FWMF,Kai Havertz,4.850960919502772
Rennes,fr Ligue 1,FWMF,Martin Terrier,4.834175453282889
Levante,es La Liga,FWMF,José Luis Morales,4.8296645593289425
Wolfsburg,de Bundesliga,FWMF,Lukas Nmecha,4.793782099796236
Manchester City,eng Premier League,FW,Jack Grealish,4.778010665546749
Manchester City,eng Premier League,FW,Phil Foden,4.6876211847971385
Napoli,it Serie A,FW,Lorenzo Insigne,4.646807895143581
Cádiz,es La Liga,FWMF,Anthony Lozano,4.646727302578038
Union Berlin,de Bundesliga,FW,Taiwo Awoniyi,4.630234723375776
Saint-Étienne,fr Ligue 1,FWMF,Denis Bouanga,4.591099488751687
Arsenal,eng Premier League,FWMF,Bukayo Saka,4.5618552940775405
Celta Vigo,es La Liga,FW,Iago Aspas,4.557652634257345
Mainz 05,de Bundesliga,FW,Karim Onisiwo,4.550210810506757
RB Leipzig,de Bundesliga,FW,André Silva,4.520706513630784
Köln,de Bundesliga,FW,Anthony Modeste,4.486728570109814
