,,,,,,,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Ismael Aaneba,fr FRA,FWDF,Strasbourg,fr Ligue 1,21,1999,0.1,0,0,0,0,0,0,1,0.0,1,2,0,0.0,1,1,0,0,0,0,0,0,0,2,0,Matches
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,19.7,33,19,21,11,1,15,42,35.7,27,206,69,33.5,130,56,20,31,7,1,24,34,67,40,1,Matches
3,Issah Abbas,gh GHA,DFFW,Mainz 05,de Bundesliga,21,1998,0.2,0,0,0,0,0,0,0,,0,3,0,0.0,0,1,2,0,0,0,0,0,0,0,0,Matches
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,32.1,71,45,51,20,0,15,37,40.5,22,379,146,38.5,252,110,17,51,20,2,31,56,127,170,0,Matches
5,Sabit Abdulai,gh GHA,MF,Getafe,es La Liga,21,1999,0.7,1,0,0,1,0,0,1,0.0,1,16,4,25.0,5,8,3,0,0,0,0,1,2,1,0,Matches
6,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,1992,14.7,37,24,16,18,3,11,25,44.0,14,245,85,34.7,75,133,37,18,2,0,16,23,60,14,1,Matches
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,1993,32.9,160,108,65,79,16,52,178,29.2,126,958,269,28.1,323,539,96,51,6,1,45,46,206,13,0,Matches
8,Charles Abi,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,20,2000,10.1,7,4,6,1,0,5,14,35.7,9,224,57,25.4,24,106,94,7,1,0,6,7,14,6,0,Matches
9,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,17,2003,0.0,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0,Matches
10,Pape Abou Cisse,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14.0,22,11,16,6,0,9,17,52.9,8,107,45,42.1,73,29,5,16,5,0,11,32,54,142,2,Matches
11,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,13.6,17,13,10,5,2,8,20,40.0,12,144,64,44.4,81,47,16,26,5,1,21,15,32,33,0,Matches
12,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,22,1997,11.6,8,4,3,4,1,1,6,16.7,5,162,38,23.5,13,71,78,9,2,0,7,2,10,17,0,Matches
13,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,30,1990,0.7,2,1,1,0,1,1,1,100.0,0,13,1,7.7,6,6,1,3,1,0,2,2,4,0,0,Matches
14,Gennaro Acampora,it ITA,MFFW,Spezia,it Serie A,26,1994,4.9,11,7,1,7,3,5,7,71.4,2,88,22,25.0,8,57,23,6,1,0,5,4,15,3,0,Matches
15,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,31.3,55,38,36,16,3,11,37,29.7,26,350,146,41.7,201,119,30,51,19,0,32,62,117,155,1,Matches
16,Ragnar Ache,de GER,FWDF,Eint Frankfurt,de Bundesliga,22,1998,1.1,1,0,0,0,1,0,3,0.0,3,29,5,17.2,1,18,10,2,0,0,2,0,1,1,0,Matches
17,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,1991,25.9,72,47,39,23,10,23,39,59.0,16,345,117,33.9,153,132,60,39,3,0,36,25,97,34,0,Matches
18,Che Adams,sct SCO,FW,Southampton,eng Premier League,24,1996,29.6,30,17,5,13,12,6,23,26.1,17,430,138,32.1,48,162,220,26,4,0,22,11,41,16,1,Matches
19,Tyler Adams,us USA,DFMF,RB Leipzig,de Bundesliga,21,1999,20.6,52,31,19,26,7,15,36,41.7,21,362,118,32.6,94,202,66,37,6,0,31,31,83,40,0,Matches
20,Sargis Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,27,1993,5.3,8,5,3,3,2,3,11,27.3,8,81,15,18.5,16,33,32,5,0,0,5,7,15,1,0,Matches
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,1997,32.8,41,26,31,9,1,20,38,52.6,18,182,59,32.4,115,60,7,38,23,0,15,55,96,241,1,Matches
22,Bobby Adekanye,nl NED,FWMF,Cádiz,es La Liga,21,1999,0.4,0,0,0,0,0,0,1,0.0,1,5,1,20.0,1,0,4,1,0,0,1,0,0,0,0,Matches
23,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20,2000,26.9,91,62,39,40,12,28,86,32.6,58,695,186,26.8,210,358,127,36,4,0,32,41,132,24,2,Matches
24,Andrea Adorante,it ITA,FW,Parma,it Serie A,20,2000,0.1,0,0,0,0,0,0,0,,0,3,1,33.3,0,1,2,0,0,0,0,0,0,0,0,Matches
25,Adrián,es ESP,GK,Liverpool,eng Premier League,33,1987,3.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,1,Matches
26,Martin Agirregabiria,es ESP,DFMF,Alavés,es La Liga,24,1996,17.3,34,16,18,10,6,13,28,46.4,15,187,58,31.0,73,90,24,25,4,1,21,34,68,48,1,Matches
27,Lucien Agoume,fr FRA,MF,Spezia,it Serie A,18,2002,8.9,14,11,9,5,0,2,13,15.4,11,151,43,28.5,51,86,14,18,4,0,14,20,34,14,1,Matches
28,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,20,1999,7.8,27,16,12,11,4,13,24,54.2,11,180,48,26.7,86,63,31,16,3,0,13,21,48,23,0,Matches
29,Kevin Agudelo,co COL,FW,Spezia,it Serie A,21,1998,15.1,50,30,12,25,13,10,35,28.6,25,356,100,28.1,64,150,142,30,0,0,30,5,55,7,0,Matches
30,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24,1996,35.0,55,37,41,14,0,19,36,52.8,17,270,105,38.9,159,101,10,43,24,0,19,39,94,181,1,Matches
31,Sergio Agüero,ar ARG,FWMF,Manchester City,eng Premier League,32,1988,6.2,3,0,0,1,2,2,11,18.2,9,89,25,28.1,8,31,50,5,1,0,4,4,7,1,0,Matches
32,Ruben Aguilar,fr FRA,DFFW,Monaco,fr Ligue 1,27,1993,24.7,84,48,39,29,16,33,58,56.9,25,413,147,35.6,149,168,96,38,2,0,36,37,121,54,1,Matches
33,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,18,2002,2.8,2,1,1,1,0,2,3,66.7,1,41,12,29.3,15,25,1,5,0,0,5,4,6,1,0,Matches
34,Matteo Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21,1999,10.0,30,19,17,11,2,7,36,19.4,29,267,59,22.1,98,133,36,13,2,0,11,4,34,9,0,Matches
35,Cheikh Ahmadou Dieng,sn SEN,FW,Marseille,fr Ligue 1,20,2000,1.4,3,2,1,2,0,2,4,50.0,2,25,2,8.0,4,10,11,0,0,0,0,1,4,0,0,Matches
36,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,26,1994,23.8,55,35,19,34,2,10,41,24.4,31,397,122,30.7,121,231,45,26,5,0,21,54,109,41,1,Matches
37,Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,26,1994,0.4,1,0,1,0,0,0,0,,0,10,1,10.0,6,4,0,0,0,0,0,2,3,1,0,Matches
38,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,24,1995,14.3,28,17,22,5,1,11,21,52.4,10,171,55,32.2,109,61,1,20,4,0,16,16,44,111,2,Matches
39,Ola Aina,ng NGA,DF,Fulham,eng Premier League,23,1996,29.6,47,25,27,14,6,17,41,41.5,24,261,65,24.9,143,96,22,47,8,0,39,52,99,121,0,Matches
40,Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,19,2001,2.1,3,2,1,2,0,2,4,50.0,2,33,11,33.3,19,10,4,4,1,0,3,1,4,0,0,Matches
