,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Ismael Aaneba,fr FRA,FWDF,Strasbourg,fr Ligue 1,21,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,19.7,0,18,6,33.3,0.91,0.30,0.00,0.00,20.3,3,0,0,1.2,1.2,0.07,-1.2,-1.2,Matches
3,Issah Abbas,gh GHA,DFFW,Mainz 05,de Bundesliga,21,1998,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,32.1,3,15,5,33.3,0.47,0.16,0.20,0.60,10.2,0,0,0,1.7,1.7,0.11,+1.3,+1.3,Matches
5,Sabit Abdulai,gh GHA,MF,Getafe,es La Liga,21,1999,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
6,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,1992,14.7,0,20,0,0.0,1.36,0.00,0.00,,22.9,1,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,1993,32.9,3,30,10,33.3,0.91,0.30,0.10,0.30,25.9,0,0,0,1.3,1.3,0.04,+1.7,+1.7,Matches
8,Charles Abi,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,20,2000,10.1,3,19,4,21.1,1.87,0.39,0.16,0.75,11.8,0,0,0,2.1,2.1,0.11,+0.9,+0.9,Matches
9,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,17,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
10,Pape Abou Cisse,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14.0,0,13,3,23.1,0.93,0.21,0.00,0.00,11.3,0,0,0,1.2,1.2,0.09,-1.2,-1.2,Matches
11,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,13.6,1,9,2,22.2,0.66,0.15,0.11,0.50,16.0,0,0,0,0.7,0.7,0.07,+0.3,+0.3,Matches
12,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,22,1997,11.6,6,32,13,40.6,2.77,1.13,0.19,0.46,9.7,0,0,0,6.4,6.4,0.20,-0.4,-0.4,Matches
13,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,30,1990,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
14,Gennaro Acampora,it ITA,MFFW,Spezia,it Serie A,26,1994,4.9,0,9,0,0.0,1.84,0.00,0.00,,25.0,1,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
15,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,31.3,0,8,0,0.0,0.26,0.00,0.00,,13.1,0,0,0,1.0,1.0,0.12,-1.0,-1.0,Matches
16,Ragnar Ache,de GER,FWDF,Eint Frankfurt,de Bundesliga,22,1998,1.1,1,2,1,50.0,1.80,0.90,0.50,1.00,14.7,0,0,0,0.3,0.3,0.13,+0.7,+0.7,Matches
17,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,1991,25.9,1,18,3,16.7,0.70,0.12,0.06,0.33,20.7,0,0,0,1.1,1.1,0.06,-0.1,-0.1,Matches
18,Che Adams,sct SCO,FW,Southampton,eng Premier League,24,1996,29.6,9,56,31,55.4,1.89,1.05,0.16,0.29,13.1,0,0,0,8.8,8.8,0.16,+0.2,+0.2,Matches
19,Tyler Adams,us USA,DFMF,RB Leipzig,de Bundesliga,21,1999,20.6,1,7,4,57.1,0.34,0.19,0.14,0.25,15.4,0,0,0,0.9,0.9,0.13,+0.1,+0.1,Matches
20,Sargis Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,27,1993,5.3,2,21,6,28.6,3.95,1.13,0.10,0.33,14.6,0,0,0,2.2,2.2,0.10,-0.2,-0.2,Matches
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,1997,32.8,0,20,5,25.0,0.61,0.15,0.00,0.00,8.8,0,0,0,1.1,1.1,0.05,-1.1,-1.1,Matches
22,Bobby Adekanye,nl NED,FWMF,Cádiz,es La Liga,21,1999,0.4,0,1,0,0.0,2.50,0.00,0.00,,17.5,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches
23,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20,2000,26.9,2,24,9,37.5,0.89,0.33,0.08,0.22,19.9,1,0,0,1.4,1.4,0.06,+0.6,+0.6,Matches
24,Andrea Adorante,it ITA,FW,Parma,it Serie A,20,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
25,Adrián,es ESP,GK,Liverpool,eng Premier League,33,1987,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
26,Martin Agirregabiria,es ESP,DFMF,Alavés,es La Liga,24,1996,17.3,0,2,0,0.0,0.12,0.00,0.00,,14.3,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
27,Lucien Agoume,fr FRA,MF,Spezia,it Serie A,18,2002,8.9,0,2,0,0.0,0.23,0.00,0.00,,20.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
28,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,20,1999,7.8,1,4,1,25.0,0.51,0.13,0.25,1.00,19.7,0,0,0,0.6,0.6,0.14,+0.4,+0.4,Matches
29,Kevin Agudelo,co COL,FW,Spezia,it Serie A,21,1998,15.1,1,19,4,21.1,1.26,0.27,0.05,0.25,17.3,0,0,0,1.9,1.9,0.10,-0.9,-0.9,Matches
